split,model,method,kind,representation,sigma,pr_auc,roc_auc,youden_threshold,sensitivity,recall,precision,specificity,accuracy,f1,youden_j,best_C,best_cv_roc_auc,n_nonzero_coefs
rep0_fold4,Raw + Functional linear SVM,Functional linear SVM,linear_svm,Raw spectra,0.0,0.7461583404092028,0.9110706366803927,0.5025125628140703,0.8303571428571429,0.8303571428571429,0.6038961038961039,0.8647450110864745,0.8579040852575488,0.6992481203007519,0.6951021539436173,15.848931924611142,0.9178790682809725,343
rep0_fold4,Gaussian-smoothed + Functional linear SVM (sigma=2.0),Functional linear SVM,linear_svm,Gaussian-smoothed spectra,2.0,0.7392411245456043,0.9077050997782706,0.4723618090452261,0.8392857142857143,0.8392857142857143,0.5949367088607594,0.8580931263858093,0.8543516873889876,0.6962962962962963,0.6973788406715236,15.848931924611142,0.9200749753075335,343
rep0_fold4,Gaussian-smoothed + Functional linear SVM (sigma=4.0),Functional linear SVM,linear_svm,Gaussian-smoothed spectra,4.0,0.7268614582332362,0.9052304402914159,0.4371859296482412,0.7410714285714286,0.7410714285714286,0.7545454545454545,0.9401330376940134,0.9005328596802842,0.7477477477477478,0.681204466265442,15.848931924611142,0.9230314424438039,343
rep0_fold4,Gaussian-smoothed + Functional linear SVM (sigma=6.0),Functional linear SVM,linear_svm,Gaussian-smoothed spectra,6.0,0.7215803096491694,0.9047355083940448,0.4723618090452261,0.7678571428571429,0.7678571428571429,0.6323529411764706,0.8891352549889135,0.8650088809946714,0.6935483870967742,0.6569923978460563,15.848931924611142,0.921571789743321,343
rep1_fold0,Raw + Functional logistic regression (L2),Functional logistic regression (L2),logreg_l2,Raw spectra,0.0,0.7546052752471885,0.9074982061707724,0.45226130653266333,0.7927927927927928,0.7927927927927928,0.704,0.918141592920354,0.8934280639431617,0.7457627118644068,0.7109343857131467,15.848931924611142,0.9253533088605065,343
rep1_fold0,Gaussian-smoothed + Functional logistic regression (L2) (sigma=2.0),Functional logistic regression (L2),logreg_l2,Gaussian-smoothed spectra,2.0,0.7529771290440247,0.9064019771984373,0.457286432160804,0.7927927927927928,0.7927927927927928,0.7272727272727273,0.9269911504424779,0.9005328596802842,0.7586206896551724,0.7197839432352708,15.848931924611142,0.9247100769406215,343
rep1_fold0,Gaussian-smoothed + Functional logistic regression (L2) (sigma=4.0),Functional logistic regression (L2),logreg_l2,Gaussian-smoothed spectra,4.0,0.7541437787964232,0.9071394403252809,0.4472361809045226,0.8108108108108109,0.8108108108108109,0.6923076923076923,0.911504424778761,0.8916518650088809,0.7468879668049793,0.7223152355895719,15.848931924611142,0.9263018420583707,343
rep1_fold0,Gaussian-smoothed + Functional logistic regression (L2) (sigma=6.0),Functional logistic regression (L2),logreg_l2,Gaussian-smoothed spectra,6.0,0.7570521836087024,0.9085147093996649,0.457286432160804,0.7927927927927928,0.7927927927927928,0.7333333333333333,0.9292035398230089,0.9023090586145648,0.7619047619047619,0.7219963326158017,15.848931924611142,0.9253275738950596,343
rep1_fold0,Raw + Functional linear SVM,Functional linear SVM,linear_svm,Raw spectra,0.0,0.7571576565679045,0.9068006059156503,0.271356783919598,0.8018018018018018,0.8018018018018018,0.5973154362416108,0.8672566371681416,0.8543516873889876,0.6846153846153846,0.6690584389699434,2.5118864315095824,0.9230807976384972,343
rep1_fold0,Gaussian-smoothed + Functional linear SVM (sigma=2.0),Functional linear SVM,linear_svm,Gaussian-smoothed spectra,2.0,0.7552311508934008,0.9050267081240532,0.2814070351758794,0.7477477477477478,0.7477477477477478,0.7757009345794392,0.9469026548672567,0.9076376554174067,0.7614678899082569,0.6946504026150044,2.5118864315095824,0.922273621251081,343
rep1_fold0,Gaussian-smoothed + Functional linear SVM (sigma=4.0),Functional linear SVM,linear_svm,Gaussian-smoothed spectra,4.0,0.7526943869112308,0.9034720561269234,0.3316582914572864,0.8468468468468469,0.8468468468468469,0.47474747474747475,0.7699115044247787,0.7850799289520426,0.6084142394822006,0.6167583512716255,2.5118864315095824,0.9220985406295931,343
rep1_fold0,Gaussian-smoothed + Functional linear SVM (sigma=6.0),Functional linear SVM,linear_svm,Gaussian-smoothed spectra,6.0,0.7503990880901131,0.9019174041297935,0.3919597989949749,0.8108108108108109,0.8108108108108109,0.5769230769230769,0.8539823008849557,0.8454706927175843,0.6741573033707865,0.6647931116957666,2.5118864315095824,0.9223547463704146,343
rep1_fold1,Raw + Functional logistic regression (L2),Functional logistic regression (L2),logreg_l2,Raw spectra,0.0,0.829986948745776,0.9384517260623455,0.457286432160804,0.8198198198198198,0.8198198198198198,0.7711864406779662,0.9402654867256637,0.91651865008881,0.7947598253275109,0.7600853065454833,2.5118864315095824,0.9180540144153154,343
rep1_fold1,Gaussian-smoothed + Functional logistic regression (L2) (sigma=2.0),Functional logistic regression (L2),logreg_l2,Gaussian-smoothed spectra,2.0,0.8299645564510638,0.939308777804353,0.457286432160804,0.8288288288288288,0.8288288288288288,0.773109243697479,0.9402654867256637,0.9182948490230906,0.8,0.7690943155544925,2.5118864315095824,0.9176300985668964,343
rep1_fold1,Gaussian-smoothed + Functional logistic regression (L2) (sigma=4.0),Functional logistic regression (L2),logreg_l2,Gaussian-smoothed spectra,4.0,0.8262035504435588,0.9333293470461612,0.49748743718592964,0.8018018018018018,0.8018018018018018,0.7235772357723578,0.9247787610619469,0.9005328596802842,0.7606837606837606,0.7265805628637487,100.0,0.9167607612934544,343
rep1_fold1,Gaussian-smoothed + Functional logistic regression (L2) (sigma=6.0),Functional logistic regression (L2),logreg_l2,Gaussian-smoothed spectra,6.0,0.8306344469389259,0.9399266523160328,0.4623115577889447,0.8288288288288288,0.8288288288288288,0.773109243697479,0.9402654867256637,0.9182948490230906,0.8,0.7690943155544925,2.5118864315095824,0.9158946888114002,343
rep1_fold1,Raw + Functional linear SVM,Functional linear SVM,linear_svm,Raw spectra,0.0,0.8324785888181506,0.931575380690425,0.4271356783919598,0.8648648648648649,0.8648648648648649,0.5333333333333333,0.8141592920353983,0.8241563055062167,0.6597938144329897,0.6790241569002631,0.3981071705534973,0.9103387373174449,343
rep1_fold1,Gaussian-smoothed + Functional linear SVM (sigma=2.0),Functional linear SVM,linear_svm,Gaussian-smoothed spectra,2.0,0.8335058529953158,0.9328111297137847,0.4221105527638191,0.8468468468468469,0.8468468468468469,0.6025641025641025,0.8628318584070797,0.8596802841918295,0.704119850187266,0.7096787052539266,0.3981071705534973,0.9111117137784103,343
rep1_fold1,Gaussian-smoothed + Functional linear SVM (sigma=4.0),Functional linear SVM,linear_svm,Gaussian-smoothed spectra,4.0,0.8342496243345162,0.9344056445826356,0.4120603015075377,0.8288288288288288,0.8288288288288288,0.6917293233082706,0.9092920353982301,0.8934280639431617,0.7540983606557377,0.7381208642270589,0.3981071705534973,0.9126281722781444,343
