model,wavelength,weight_mean,weight_std
Gaussian-smoothed + Functional linear SVM (sigma=2.0),624.0,1.6123420565910334,2.004718877197093
Gaussian-smoothed + Functional linear SVM (sigma=2.0),626.0,2.427921791762308,2.1013469730778516
Gaussian-smoothed + Functional linear SVM (sigma=2.0),628.0,3.2841616592685954,2.3056818370180343
Gaussian-smoothed + Functional linear SVM (sigma=2.0),630.0,4.153418646150039,2.6189175588583837
Gaussian-smoothed + Functional linear SVM (sigma=2.0),632.0,5.005454327416054,3.0196636658187135
Gaussian-smoothed + Functional linear SVM (sigma=2.0),634.0,5.742284606452103,3.432657444779142
Gaussian-smoothed + Functional linear SVM (sigma=2.0),636.0,6.025484986688789,3.6456238525399223
Gaussian-smoothed + Functional linear SVM (sigma=2.0),638.0,5.473545294227327,3.4823208840227324
Gaussian-smoothed + Functional linear SVM (sigma=2.0),640.0,4.3320876912487485,3.0472759720649543
Gaussian-smoothed + Functional linear SVM (sigma=2.0),642.0,3.456508123161642,2.7099963275924357
Gaussian-smoothed + Functional linear SVM (sigma=2.0),644.0,3.4577739053503804,3.1968653631946595
Gaussian-smoothed + Functional linear SVM (sigma=2.0),646.0,4.028906065656247,3.951368332875525
Gaussian-smoothed + Functional linear SVM (sigma=2.0),648.0,4.455338886711379,4.029432358931877
Gaussian-smoothed + Functional linear SVM (sigma=2.0),650.0,4.391675524666274,3.5840908843691404
Gaussian-smoothed + Functional linear SVM (sigma=2.0),652.0,3.794758213877527,3.1344853704889655
Gaussian-smoothed + Functional linear SVM (sigma=2.0),654.0,2.580811073523586,2.7203362495847894
Gaussian-smoothed + Functional linear SVM (sigma=2.0),656.0,0.6125246919679259,2.2742497913888124
Gaussian-smoothed + Functional linear SVM (sigma=2.0),658.0,-2.0371049430730146,2.3167980055441038
Gaussian-smoothed + Functional linear SVM (sigma=2.0),660.0,-4.891619500957246,3.073086911479568
Gaussian-smoothed + Functional linear SVM (sigma=2.0),662.0,-7.246465580957721,3.9312703775526225
Gaussian-smoothed + Functional linear SVM (sigma=2.0),664.0,-8.544331294066332,4.423791921590863
Gaussian-smoothed + Functional linear SVM (sigma=2.0),666.0,-8.597924600577485,4.348483969656136
Gaussian-smoothed + Functional linear SVM (sigma=2.0),668.0,-7.610887123413983,3.7397040603680423
Gaussian-smoothed + Functional linear SVM (sigma=2.0),670.0,-6.085540623569125,2.8761099113987454
Gaussian-smoothed + Functional linear SVM (sigma=2.0),672.0,-4.602000101377395,2.1224571575916484
Gaussian-smoothed + Functional linear SVM (sigma=2.0),674.0,-3.5160421266199267,1.7139492526703872
Gaussian-smoothed + Functional linear SVM (sigma=2.0),676.0,-2.801553745639514,1.790202189503313
Gaussian-smoothed + Functional linear SVM (sigma=2.0),678.0,-2.183563362019075,2.1753884880012446
Gaussian-smoothed + Functional linear SVM (sigma=2.0),680.0,-1.4246423935096508,2.4452059161019055
Gaussian-smoothed + Functional linear SVM (sigma=2.0),682.0,-0.5237317906684977,2.4538923871556113
Gaussian-smoothed + Functional linear SVM (sigma=2.0),684.0,0.2843607738552391,2.422916401996656
Gaussian-smoothed + Functional linear SVM (sigma=2.0),686.0,0.7136888845659165,2.52374067510449
Gaussian-smoothed + Functional linear SVM (sigma=2.0),688.0,0.6807745789677672,2.54526886525283
Gaussian-smoothed + Functional linear SVM (sigma=2.0),690.0,0.4121549723468364,2.3744555865196797
Gaussian-smoothed + Functional linear SVM (sigma=2.0),692.0,0.2750657858201204,2.3009871099830677
