split,sigma,representation,family,method,tuning,pr_auc,roc_auc,youden_threshold,sensitivity,precision,specificity,accuracy,f1,youden_j,best_C,best_cv_roc_auc,n_nonzero_coefs
rep4_fold2,0.0,Raw L2-normalised sampled spectra,Functional linear,Functional linear SVM,inner-CV C,0.86021367375754,0.9130701615457714,0.1708542713567839,0.8214285714285714,0.8141592920353983,0.9534368070953437,0.9271758436944938,0.8177777777777778,0.774865378523915,0.01,0.909637147794632,343.0
rep4_fold3,0.0,Raw L2-normalised sampled spectra,Distance-based functional,weighted kNN + seuclidean,k=5,0.8035948973621934,0.8885611339879633,0.22613065326633167,0.7946428571428571,0.717741935483871,0.9223946784922394,0.8969804618117229,0.7542372881355932,0.7170375356350966,,,
rep4_fold3,0.0,Raw L2-normalised sampled spectra,Functional linear,Functional logistic regression (L2),inner-CV C,0.8203038949156293,0.8941835603420969,0.4371859296482412,0.8035714285714286,0.7142857142857143,0.9201773835920177,0.8969804618117229,0.7563025210084033,0.7237488121634463,0.01,0.9207197314150646,343.0
rep4_fold3,0.0,Raw L2-normalised sampled spectra,Functional linear,Functional linear SVM,inner-CV C,0.8131040711108227,0.8977668672790625,0.1407035175879397,0.8125,0.7054263565891473,0.9157427937915743,0.8952042628774423,0.7551867219917012,0.7282427937915743,0.3981071705534973,0.9191352353713832,343.0
rep4_fold4,0.0,Raw L2-normalised sampled spectra,Distance-based functional,weighted kNN + seuclidean,k=5,0.8229328266142288,0.9078634779854292,0.22110552763819097,0.8125,0.7711864406779662,0.9401330376940134,0.9147424511545293,0.7913043478260869,0.7526330376940134,,,
rep4_fold4,0.0,Raw L2-normalised sampled spectra,Functional linear,Functional logistic regression (L2),inner-CV C,0.8864326767060687,0.9124762432689262,0.37185929648241206,0.8660714285714286,0.8434782608695652,0.9600886917960089,0.9413854351687388,0.8546255506607929,0.8261601203674376,0.01,0.9189368971638364,343.0
rep4_fold4,0.0,Raw L2-normalised sampled spectra,Functional linear,Functional linear SVM,inner-CV C,0.8903200053795054,0.9206129236617041,0.24623115577889448,0.8392857142857143,0.8392857142857143,0.9600886917960089,0.9360568383658969,0.8392857142857143,0.7993744060817232,0.01,0.9167648941724171,343.0
rep5_fold0,0.0,Raw L2-normalised sampled spectra,Distance-based functional,weighted kNN + seuclidean,k=5,0.7654511999575295,0.884696643546201,0.3869346733668342,0.7477477477477478,0.7830188679245284,0.9491150442477876,0.9094138543516874,0.7649769585253456,0.6968627919955352,,,
rep5_fold0,0.0,Raw L2-normalised sampled spectra,Functional linear,Functional logistic regression (L2),inner-CV C,0.8642301476968105,0.9238021207047756,0.4221105527638191,0.8288288288288288,0.7666666666666667,0.9380530973451328,0.91651865008881,0.7965367965367965,0.7668819261739617,0.01,0.9118176692661702,343.0
rep5_fold0,0.0,Raw L2-normalised sampled spectra,Functional linear,Functional linear SVM,inner-CV C,0.8650547623542116,0.9170652953838794,0.15075376884422112,0.8108108108108109,0.75,0.9336283185840708,0.9094138543516874,0.7792207792207793,0.7444391293948818,0.01,0.911244123329127,343.0
rep5_fold1,0.0,Raw L2-normalised sampled spectra,Distance-based functional,weighted kNN + seuclidean,k=5,0.8104848799512543,0.8789563900183369,0.3919597989949749,0.7567567567567568,0.7924528301886793,0.9513274336283186,0.9129662522202486,0.7741935483870968,0.7080841903850754,,,
rep5_fold1,0.0,Raw L2-normalised sampled spectra,Functional linear,Functional logistic regression (L2),inner-CV C,0.8537919537420885,0.8989276887506976,0.3869346733668342,0.8108108108108109,0.7692307692307693,0.9402654867256637,0.9147424511545293,0.7894736842105263,0.7510762975364744,0.01,0.919669313237652,343.0
rep5_fold1,0.0,Raw L2-normalised sampled spectra,Functional linear,Functional linear SVM,inner-CV C,0.8435105332615093,0.8884238220521407,0.16080402010050251,0.8108108108108109,0.7142857142857143,0.9203539823008849,0.8987566607460036,0.759493670886076,0.7311647931116958,0.01,0.919661608824642,343.0
rep5_fold2,0.0,Raw L2-normalised sampled spectra,Distance-based functional,weighted kNN + seuclidean,k=5,0.7710786233988585,0.8657546721571112,0.21608040201005024,0.7321428571428571,0.7735849056603774,0.9467849223946785,0.9040852575488455,0.7522935779816514,0.6789277795375357,,,
rep5_fold2,0.0,Raw L2-normalised sampled spectra,Functional linear,Functional logistic regression (L2),inner-CV C,0.8288378229077701,0.8926987646499842,0.3919597989949749,0.7857142857142857,0.7857142857142857,0.9467849223946785,0.9147424511545293,0.7857142857142857,0.7324992081089641,0.01,0.9209809683705422,343.0
rep5_fold2,0.0,Raw L2-normalised sampled spectra,Functional linear,Functional linear SVM,inner-CV C,0.8269652930680811,0.894777478618942,0.15577889447236182,0.7767857142857143,0.7981651376146789,0.9512195121951219,0.91651865008881,0.7873303167420814,0.7280052264808363,0.01,0.9172381287840942,343.0
rep5_fold3,0.0,Raw L2-normalised sampled spectra,Distance-based functional,weighted kNN + seuclidean,k=5,0.8328876692459944,0.9131097560975611,0.23618090452261306,0.8214285714285714,0.7479674796747967,0.9312638580931264,0.9094138543516874,0.7829787234042553,0.7526924295216979,,,
rep5_fold3,0.0,Raw L2-normalised sampled spectra,Functional linear,Functional logistic regression (L2),inner-CV C,0.878917940987857,0.9231073804244535,0.4120603015075377,0.8839285714285714,0.7615384615384615,0.9312638580931264,0.9218472468916519,0.8181818181818182,0.8151924295216979,0.01,0.911716321775632,343.0
rep5_fold3,0.0,Raw L2-normalised sampled spectra,Functional linear,Functional linear SVM,inner-CV C,0.8845606103273889,0.9279379157427938,0.1658291457286432,0.8571428571428571,0.8067226890756303,0.9490022172949002,0.9307282415630551,0.8311688311688312,0.8061450744377572,0.01,0.9109428554956883,343.0
rep5_fold4,0.0,Raw L2-normalised sampled spectra,Distance-based functional,weighted kNN + seuclidean,k=5,0.8694056461888179,0.9253246753246753,0.21608040201005024,0.8482142857142857,0.753968253968254,0.9312638580931264,0.9147424511545293,0.7983193277310925,0.7794781438074121,,,
rep5_fold4,0.0,Raw L2-normalised sampled spectra,Functional linear,Functional logistic regression (L2),inner-CV C,0.9126888730157598,0.9552383592017738,0.40703517587939697,0.875,0.8521739130434782,0.9623059866962306,0.9449378330373002,0.8634361233480177,0.8373059866962307,0.01,0.9025833231389654,343.0
rep5_fold4,0.0,Raw L2-normalised sampled spectra,Functional linear,Functional linear SVM,inner-CV C,0.9220888608510401,0.9630978777320242,0.1708542713567839,0.8660714285714286,0.8660714285714286,0.9667405764966741,0.9467140319715808,0.8660714285714286,0.8328120050681027,0.01,0.9023183700099574,343.0
rep6_fold0,0.0,Raw L2-normalised sampled spectra,Distance-based functional,weighted kNN + seuclidean,k=5,0.7568137521082102,0.8609483377182492,0.38190954773869346,0.7387387387387387,0.7256637168141593,0.9314159292035398,0.8934280639431617,0.7321428571428571,0.6701546679422785,,,
rep6_fold0,0.0,Raw L2-normalised sampled spectra,Functional linear,Functional logistic regression (L2),inner-CV C,0.8304004153210324,0.8881846448218129,0.4321608040201005,0.8108108108108109,0.782608695652174,0.9446902654867256,0.9182948490230906,0.7964601769911505,0.7555010762975365,0.01,0.9221350778498781,343.0
rep6_fold0,0.0,Raw L2-normalised sampled spectra,Functional linear,Functional linear SVM,inner-CV C,0.8365455885591835,0.9008610380291796,0.1708542713567839,0.8018018018018018,0.7478991596638656,0.9336283185840708,0.9076376554174067,0.7739130434782608,0.7354301203858726,0.01,0.9199446625279748,343.0
rep6_fold1,0.0,Raw L2-normalised sampled spectra,Distance-based functional,weighted kNN + seuclidean,k=5,0.8680871509801612,0.9255760184963725,0.2914572864321608,0.8378378378378378,0.768595041322314,0.9380530973451328,0.9182948490230906,0.8017241379310345,0.7758909351829706,,,
