wavelength,mean_d1_non_binary,mean_d1_binary,mean_d2_non_binary,mean_d2_binary
398.0,-4.116029842018926e-06,0.00039614982473706905,0.00027607139599188606,0.00032210875745780946
400.0,0.0003583020594337754,0.0008139983030001093,6.945187665833654e-06,4.837444723872068e-06
402.0,2.366472082131581e-05,0.00041549960363255713,-0.00029391951400073115,-0.0003458830055209611
404.0,-0.0008173759965691501,-0.0005695337190837349,-0.0003816698693909526,-0.0004526118472869872
406.0,-0.0015030147567424944,-0.0013949477855153922,-0.00022546619928384988,-0.00027590266399900483
408.0,-0.0017192407937045508,-0.0016731443750797536,2.738006859444546e-05,1.65541179222391e-05
410.0,-0.001393494482364713,-0.0013287313138264367,0.0002771794816093065,0.0002921974371125025
412.0,-0.0006105228672673212,-0.0005043546266297437,0.00038897481763681903,0.00040077377189404374
414.0,0.0001624047881825657,0.00027436377374974056,0.00027657135330955135,0.0002663266864150614
416.0,0.0004957625459708868,0.0005609521190305001,4.81003385420781e-05,1.8369497896679357e-05
418.0,0.00035480614235087777,0.00034784176533645794,-0.0001711053503634699,-0.00020136428567036743
420.0,-0.0001886588554829935,-0.0002445050236509691,-0.000310218347370387,-0.0003215504304223082
422.0,-0.0008860672471306667,-0.0009383599563527759,-0.0003086746919315123,-0.0002958643184414476
424.0,-0.0014233576232090459,-0.0014279622974167619,-0.00020794252085844074,-0.00018070477854342286
426.0,-0.0017178373305644327,-0.0016611790705264669,-7.837697495524589e-05,-5.197338474025874e-05
428.0,-0.0017368655230300281,-0.0016358558363777933,5.5930072850211433e-05,7.124767632617938e-05
430.0,-0.001494117039163583,-0.0013761883652217504,0.00014398071295231653,0.0001487897372923384
432.0,-0.001160942671220762,-0.0010406968872084424,0.00018346420417479121,0.00018527895499906955
434.0,-0.0007602602224644191,-0.0006350725452254714,0.00021308477519649033,0.00021851699174606565
436.0,-0.0003086035704348005,-0.00016662892022417932,0.00019240150981780234,0.00020277920275551162
438.0,9.345816806791057e-06,0.00017604426579657386,0.00010695192367628857,0.00011763241860726669
440.0,0.00011920412427035348,0.0003039007542048879,1.67644726748028e-05,2.075278951463718e-05
442.0,7.640370750600213e-05,0.0002590554238551228,-5.224707371829951e-05,-5.86681669484711e-05
444.0,-8.978417060284396e-05,6.922808641100333e-05,-9.715591133709799e-05,-0.00011185554531266311
446.0,-0.0003122199378423906,-0.00018836675739553011,-0.00011114406372399227,-0.00012780490456306667
448.0,-0.0005343604254988149,-0.00044199153184126366,-9.255690793476205e-05,-0.00010432948325402374
450.0,-0.0006824475695814376,-0.000605684690411625,-4.565057678660302e-05,-4.87498735784512e-05
452.0,-0.000716962732645227,-0.0006369910261550688,1.0687563004548937e-06,5.4797696229079e-06
454.0,-0.0006781725443796183,-0.0005837656119199936,3.55704731436046e-05,4.275064505212192e-05
456.0,-0.000574680840070807,-0.0004659884459465812,5.240663732414512e-05,5.675760581930796e-05
458.0,-0.00046854599508303703,-0.0003567351886427616,4.3113816496459174e-05,4.08607270430115e-05
460.0,-0.00040222557408496997,-0.00030254553777453463,2.685535959978445e-05,1.8065130941386532e-05
462.0,-0.00036112455668389933,-0.00028447466487721584,1.1231358183749108e-06,-1.1484961996300469e-05
464.0,-0.0003977330308114708,-0.0003484853857597363,-1.858396765026726e-05,-3.060894546254696e-05
