source_id,y,class_name,auc,roughness_d1,roughness_d2
1440246986985570176,0,non_binary,24.76504221587502,0.0002753593426798583,2.7366332409026965e-05
1444243093276400000,0,non_binary,24.85036473433059,0.00037411170554565385,3.948099829896813e-05
1448411410577062528,0,non_binary,25.800818379164895,0.0004893282224416903,6.304242995378102e-05
1449056067988016128,0,non_binary,24.038403896442563,0.0014458305374430219,0.0002763467020946196
1449575655951553408,0,non_binary,24.59550180828404,0.000346879114356934,3.138096707946533e-05
1450983271353426048,1,binary,30.561338314799016,0.0008771683098354581,0.00016109363717254813
1451833434359977216,0,non_binary,24.975960907302884,0.0003213158032351218,3.583581476750564e-05
1452740084776034944,0,non_binary,23.2303650847284,0.0007195259886636378,0.00010920104484176905
1454323415879594368,0,non_binary,24.479972837492912,0.0002212611468597858,1.3844591438521996e-05
1460356814139885568,0,non_binary,23.07306912649536,0.00034931810553172777,3.6906379339850115e-05
1460632997716192000,0,non_binary,26.619279384720368,0.0005380829039496219,7.387171193147095e-05
1460692714941449728,0,non_binary,23.75736374115104,0.00029694238987713195,2.9489356297136738e-05
1460730407575030656,0,non_binary,24.736436452306204,0.0002938707539195172,2.6617972965425214e-05
1461140216174118016,0,non_binary,23.982851849531748,0.0003188091061842637,2.4684437061217204e-05
1463697233542956672,0,non_binary,25.345255546516803,0.0008813770956962328,0.00011196955750302995
1465043619891174016,0,non_binary,23.916874933514624,0.0012345046966300594,0.00021292298975790505
1471988375850922368,0,non_binary,24.287435987586637,0.0002497762111848509,1.86121591318168e-05
1473687671071803520,0,non_binary,23.61349195082944,0.000199903295641194,1.3234294807182361e-05
1474359575755115136,0,non_binary,24.85101867966116,0.000609520902349145,9.625558055869336e-05
1476298186553761664,1,binary,29.69459615651879,0.0004114323983557429,5.883083479870185e-05
1478424229724415104,0,non_binary,24.298184401411497,0.00021210234795854784,1.4868895045694426e-05
1482924663959981696,0,non_binary,24.810833640726287,0.0002470388247477424,2.7450835488627677e-05
1483803349845846400,0,non_binary,25.664278604451827,0.0012019299604787792,0.00020666512225491528
1485199008058786688,1,binary,28.551901598653416,0.0006045172375783138,8.02918359436017e-05
1486741519792600448,0,non_binary,24.55708598769787,0.00033611819864331517,5.040684312241344e-05
1489569772937523840,0,non_binary,23.189665416839738,0.00044183136365591425,4.524294791899717e-05
1492192692285509376,0,non_binary,24.66496024630758,0.00018426060729638508,1.2308821503586214e-05
1495299843425776000,1,binary,23.76196105855393,0.00020547711537328853,1.580003905606804e-05
1495329392800826624,0,non_binary,25.63443689298089,0.00036981536981029064,3.8106086991855895e-05
1495942160078351744,1,binary,26.414289376907234,0.0002449758513852053,1.322831559191104e-05
1496895818913504512,0,non_binary,27.109849086434334,0.0003738524460801861,4.021795380068334e-05
1497519997920400256,0,non_binary,23.170419491830245,0.0005573740990461508,7.049586180006232e-05
1508050123858921216,0,non_binary,24.06582024787599,0.0005083045444821074,8.236979501646444e-05
1512089626500587648,0,non_binary,26.97693064533266,0.0009258085272106918,0.0001572000654570944
1517524890432603520,0,non_binary,29.611910502353727,0.0004528773604222365,6.574802476866273e-05
1524668864155792768,1,binary,24.781118472360717,0.001911155176463787,0.0003138993593466944
1525430172878622336,0,non_binary,27.52193249972328,0.004883941521286874,0.0010006379945669676
1532409357294653824,1,binary,28.223145103184113,0.00036176990986048894,4.880434367805026e-05
1534536701840624768,0,non_binary,25.037058933773956,0.0002541243601821762,1.951307577195224e-05
1536809808987373824,1,binary,30.440407609648005,0.0004267063807289947,6.072756406103362e-05
1540495440685138432,0,non_binary,24.152228402086035,0.0007721165610689605,0.00010873423393527165
1540815913964920448,0,non_binary,25.800151476630784,0.0008021945538091953,0.0001120379331924782
1543006141129419648,0,non_binary,24.8453089403125,0.0003468157384110761,3.3223528551359774e-05
1544410045677548288,1,binary,28.758961692763393,0.0002833711180610978,3.6419945448673694e-05
1545548280734839936,1,binary,30.80706209708363,0.00020259237598530198,2.559801706741001e-05
1550490241899314560,0,non_binary,23.527065365908204,0.0002304965248374166,1.6486950222727144e-05
1552221800914196480,0,non_binary,25.0310667895011,0.00032088692665295873,3.036921725426149e-05
