wavelength,mean_non_binary_raw,mean_binary_raw,mean_non_binary_l2,mean_binary_l2,difference_binary_minus_non_binary_l2
428.0,2.4271453122981653e-16,1.1812109974048097e-16,0.08958479891731318,0.08789935664402898,-0.0016854422732841962
430.0,2.3420749588606866e-16,1.1400445763770545e-16,0.08628271275137354,0.08482831951002492,-0.00145439324134862
432.0,2.275006613884764e-16,1.1080605599462917e-16,0.08360833076065895,0.08239460318314204,-0.001213727577516907
434.0,2.225769936596824e-16,1.0855236992518533e-16,0.08163894206649051,0.08066553196119096,-0.0009734101052995547
436.0,2.1969493258735925e-16,1.0744162941340525e-16,0.08056728987080135,0.07985431300224015,-0.0007129768685611992
438.0,2.1875734339657228e-16,1.0747310114456703e-16,0.08040452778475138,0.0799990162802944,-0.0004055115044569735
440.0,2.183689936633921e-16,1.0793687474234995e-16,0.08060467313802848,0.08055849006542637,-4.6183072602110076e-05
442.0,2.1801416817501433e-16,1.0848276212557476e-16,0.08088134428183281,0.08121461929711392,0.0003332750152811037
444.0,2.1710752125207287e-16,1.0870359402919319e-16,0.0809102879680524,0.08159471176084689,0.0006844237927944863
446.0,2.1538300823557403e-16,1.0838393361245308e-16,0.08052220759942125,0.08149153164275795,0.0009693240433367029
448.0,2.127236274082641e-16,1.0744696202422642e-16,0.07966140821668284,0.0808412447312648,0.001179836514581964
450.0,2.0918642961077571e-16,1.0596072117568107e-16,0.07838476589742628,0.07972356551539284,0.0013387996179665546
452.0,2.052660614344811e-16,1.0423951772449656e-16,0.0769316179383571,0.07841850596961827,0.0014868880312611799
454.0,2.014213247270489e-16,1.0256714056905235e-16,0.07551691496684508,0.07717560141077258,0.0016586864439274984
456.0,1.978182447855857e-16,1.010423329910354e-16,0.07421892776083855,0.07608344352193828,0.001864515761099736
458.0,1.949626478233202e-16,9.990170932375393e-17,0.07321819160656198,0.07531164762698624,0.002093456020424253
460.0,1.924572617905295e-16,9.890379640942753e-17,0.07234474378050651,0.07465650276736711,0.002311758986860604
462.0,1.9037597688233834e-16,9.80557264740513e-17,0.07160928931022205,0.07410146547588813,0.002492176165666077
464.0,1.8843328328112325e-16,9.720427644029209e-17,0.07090024555377095,0.07351860410785843,0.0026183585540874854
466.0,1.8607831987797176e-16,9.60847285236419e-17,0.07001835718697633,0.07270752393284921,0.002689166745872884
468.0,1.8379424662027282e-16,9.498085131924425e-17,0.06915840384463118,0.07189096232094869,0.0027325584763175093
470.0,1.808575506791347e-16,9.355173126551292e-17,0.06805739434758497,0.0708204745992968,0.002763080251711833
472.0,1.7758497426764026e-16,9.197856113192608e-17,0.06683479707404487,0.0696386468161298,0.0028038497420849323
474.0,1.740570107183063e-16,9.030029156546306e-17,0.06551263912387235,0.06837444010366332,0.0028618009797909683
476.0,1.7022690396708066e-16,8.847363346345834e-17,0.0640616750673527,0.06699056525364656,0.0029288901862938588
478.0,1.6619453784834598e-16,8.652546374688839e-17,0.06251145451118749,0.06550321780085572,0.0029917632896682284
480.0,1.6243670352161216e-16,8.468482418629893e-17,0.061042147313660686,0.0640860798809915,0.0030439325673308204
482.0,1.585930582310521e-16,8.275824367366624e-17,0.05952958666367756,0.0625994119642942,0.003069825300616634
484.0,1.553604173098528e-16,8.111861074731651e-17,0.05825456204867768,0.06133736159279188,0.0030827995441141953
486.0,1.5234218164179948e-16,7.957943077648129e-17,0.057089451344742706,0.06017258478250336,0.003083133437760656
488.0,1.5004490876812474e-16,7.842904192446673e-17,0.0562408569968423,0.0593337730653129,0.0030929160684705984
490.0,1.4847786053886792e-16,7.769116602096763e-17,0.05571925346111134,0.058842519534029254,0.0031232660729179143
492.0,1.4762138790147344e-16,7.73636451463144e-17,0.055512797890674204,0.05869216617649649,0.0031793682858222844
494.0,1.4701886492474257e-16,7.720261826696552e-17,0.05543508158341703,0.05868485099859657,0.003249769415179543
496.0,1.4651459581571025e-16,7.711101229508184e-17,0.0554061785652602,0.05872908927527133,0.0033229107100111316
498.0,1.4611902615204088e-16,7.707454868369853e-17,0.05540853807933147,0.05879663648485037,0.0033880984055188954
500.0,1.4556277235635855e-16,7.693295172548569e-17,0.05532305394511708,0.05875226568803638,0.003429211742919304
502.0,1.441493370175382e-16,7.630537926304023e-17,0.05487469159596338,0.05829882467334444,0.0034241330773810627
504.0,1.425245257361041e-16,7.552960920872772e-17,0.054307098576691436,0.057696072351244077,0.0033889737745526408
506.0,1.403383253599086e-16,7.442605980004515e-17,0.05349276798183833,0.05681588624555274,0.0033231182637144113
508.0,1.3789349902303114e-16,7.316810471063898e-17,0.05255801442403537,0.05580467365333952,0.003246659229304151
510.0,1.354717464371847e-16,7.192184025119166e-17,0.051623433877098106,0.054804804735692096,0.0031813708585939904
512.0,1.3309990189751269e-16,7.071792008876494e-17,0.05071181165221089,0.05385378327924201,0.003141971627031115
514.0,1.3104190216756258e-16,6.970918642698079e-17,0.049933292266395625,0.05307800719887953,0.0031447149324839024
516.0,1.2936682415146224e-16,6.893943503135724e-17,0.04931955126687416,0.05251512827813172,0.0031955770112575624
518.0,1.2800471332751233e-16,6.837207203110288e-17,0.04884482238130496,0.05213578065629005,0.003290958274985087
520.0,1.2662833141884294e-16,6.782709605028469e-17,0.04838125877634214,0.051796290068552,0.0034150312922098594
522.0,1.25533509655833e-16,6.745408061481488e-17,0.0480364221925185,0.05160147644592976,0.0035650542534112553
524.0,1.2445744292772778e-16,6.710266635526094e-17,0.04770365915676853,0.05142658233386372,0.0037229231770951887
526.0,1.231027826145318e-16,6.660319454207501e-17,0.047262938477160545,0.05113261490876264,0.003869676431602097
528.0,1.2157756997947797e-16,6.600617098516665e-17,0.046750674053593906,0.05075159616899155,0.004000922115397647
530.0,1.1986029276722908e-16,6.529497207475089e-17,0.046155324567992394,0.050267239790240566,0.004111915222248172
532.0,1.176960921467704e-16,6.43274452832847e-17,0.04537692054588906,0.04956943296531513,0.004192512419426073
534.0,1.154025877397719e-16,6.327498226598741e-17,0.044537363492054546,0.04879198051391361,0.004254617021859065
536.0,1.1328367705950342e-16,6.230423600714985e-17,0.04375474696297316,0.04806705992486646,0.004312312961893307
538.0,1.1120720437491544e-16,6.134317546178545e-17,0.042979539377341204,0.04734351469526716,0.0043639753179259555
540.0,1.0919166987193864e-16,6.0401765387802e-17,0.04222060028437335,0.04663320477944504,0.0044126044950716925
542.0,1.0752820123859317e-16,5.964082152721075e-17,0.041592339004939416,0.046063634343194174,0.004471295338254758
544.0,1.0625228890504713e-16,5.908055912577206e-17,0.04111033986975622,0.04565260211910469,0.004542262249348471
546.0,1.0496787229294166e-16,5.850104115643209e-17,0.040623018675337644,0.04523092599855588,0.004607907323218238
548.0,1.0391833469062241e-16,5.803817237693637e-17,0.04022598969009472,0.04490313145010639,0.004677141760011667
550.0,1.0302621368701885e-16,5.765053309194746e-17,0.03989055609089371,0.04463592242455564,0.004745366333661932
552.0,1.0225725849460688e-16,5.732169826909034e-17,0.03960455563724288,0.04441492595066698,0.0048103703134240935
554.0,1.0117019231872356e-16,5.680755282632373e-17,0.03919793205777549,0.04404923485818941,0.0048513028004139175
556.0,1.0019041148096117e-16,5.63505031253141e-17,0.03883607036002343,0.04372528574445475,0.004889215384431322
