split,family,method,pr_auc,roc_auc,youden_threshold,sensitivity,precision,specificity,accuracy,f1,youden_j,best_C,best_cv_roc_auc,n_nonzero_coefs
rep1_fold0,Functional linear,Functional linear SVM,0.8453074363688265,0.9040699992027426,0.135678391959799,0.7657657657657657,0.7327586206896551,0.9314159292035398,0.8987566607460036,0.748898678414097,0.6971816949693055,0.01,0.9088602938507643,343
rep1_fold1,Functional linear,Functional logistic regression (L2),0.8908354254670643,0.9259148529060033,0.36683417085427134,0.8468468468468469,0.746031746031746,0.9292035398230089,0.9129662522202486,0.7932489451476793,0.7760503866698558,0.01,0.9117556382298021,343
rep1_fold1,Functional linear,Functional logistic regression (L1),0.8839045891391367,0.915929203539823,0.5175879396984925,0.8468468468468469,0.7642276422764228,0.9358407079646017,0.9182948490230906,0.8034188034188035,0.7826875548114485,2.5118864315095824,0.9104451645700337,148
rep1_fold1,Functional linear,Functional linear SVM,0.8900440126860427,0.9224069201945309,0.17587939698492464,0.8378378378378378,0.7948717948717948,0.9469026548672567,0.9253996447602132,0.8157894736842105,0.7847404927050945,0.01,0.9134104731811794,343
rep1_fold2,Functional linear,Functional logistic regression (L2),0.8706434748352962,0.9125554323725055,0.3919597989949749,0.8303571428571429,0.8230088495575221,0.9556541019955654,0.9307282415630551,0.8266666666666667,0.7860112448527083,0.01,0.913702465871968,343
rep1_fold2,Functional linear,Functional logistic regression (L1),0.8523944279969277,0.9046959138422552,0.4623115577889447,0.8214285714285714,0.8070175438596491,0.9512195121951219,0.9253996447602132,0.8141592920353983,0.7726480836236933,0.06309573444801933,0.9064280310768527,54
rep1_fold2,Functional linear,Functional linear SVM,0.8756687369582146,0.9205535318340198,0.1708542713567839,0.8214285714285714,0.8518518518518519,0.9645232815964523,0.9360568383658969,0.8363636363636363,0.7859518530250238,0.01,0.9089026511181967,343
rep1_fold3,Functional linear,Functional logistic regression (L2),0.8598961986947035,0.9329466265441876,0.4170854271356784,0.8482142857142857,0.7983193277310925,0.9467849223946785,0.9271758436944938,0.8225108225108225,0.7949992081089641,0.01,0.9087700992258507,343
rep1_fold3,Functional linear,Functional logistic regression (L1),0.8390808923188857,0.9304719670573328,0.4371859296482412,0.8303571428571429,0.7380952380952381,0.926829268292683,0.9076376554174067,0.7815126050420168,0.7571864111498259,0.06309573444801933,0.9070208611920801,54
rep1_fold3,Functional linear,Functional linear SVM,0.8520480565852532,0.9153072537218878,0.15075376884422112,0.8303571428571429,0.7948717948717948,0.9467849223946785,0.9236234458259325,0.8122270742358079,0.7771420652518213,0.01,0.9020416406283426,343
